CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-21-07,SX,Morice,1992,27000,1.00,27000,1.15,31009,1.00,31009,52910,0.590,83919,58648,0.654,89658,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1993,22000,1.00,22000,1.15,25267,1.00,25267,34896,0.553,60163,37803,0.599,63070,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1994,,,,,,,,,,,,,,,,,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1995,35000,1.00,35000,1.15,40197,1.00,40197,83585,0.635,123782,91486,0.695,131682,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1996,41000,1.00,41000,1.15,47088,1.00,47088,79206,0.595,126294,86092,0.646,133180,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1997,24000,1.00,24000,1.15,27564,1.00,27564,67654,0.641,95218,77965,0.739,105528,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1998,6000,1.00,6000,1.15,6891,1.00,6891,7575,0.483,14466,8789,0.561,15680,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1999,15000,1.00,15000,1.15,17227,1.00,17227,5114,0.219,22342,6089,0.261,23316,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2000,3000,1.00,3000,1.15,3445,1.00,3445,4297,0.542,7742,4487,0.566,7932,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2001,11098,1.00,11098,1.00,11098,1.00,11098,5933,0.333,17031,6737,0.378,17836,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2002,4384,1.00,4384,1.00,4384,1.00,4384,3298,0.418,7682,3514,0.445,7898,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2003,15395,1.00,15395,1.00,15395,1.00,15395,5514,0.253,20908,6387,0.293,21782,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2004,11399,1.00,11399,1.00,11399,1.00,11399,3928,0.245,15327,4608,0.288,16007,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2005,11301,1.00,11301,1.00,11301,1.00,11301,2270,0.153,13571,3550,0.239,14851,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2006,13151,1.00,13151,1.00,13151,1.00,13151,7761,0.361,20912,8364,0.389,21515,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
