FISHERY,YEAR,SPECIES,HARVEST
Drift Gillnet Hatchery Terminal,1982,JACKS,0
Drift Gillnet Hatchery Terminal,1982,SOCKEYE,16
Drift Gillnet Hatchery Terminal,1982,COHO,13634
Drift Gillnet Hatchery Terminal,1982,PINK,554
Drift Gillnet Hatchery Terminal,1982,CHUM,260
Drift Gillnet Hatchery Terminal,1982,TOTAL,14487
Set Gillnet,1982,CHINOOK,1456
Set Gillnet,1982,JACKS,0
Set Gillnet,1982,SOCKEYE,212882
Set Gillnet,1982,COHO,148857
Set Gillnet,1982,PINK,9850
Set Gillnet,1982,CHUM,6320
Set Gillnet,1982,TOTAL,379365
Total Troll,1982,CHINOOK,NA
Total Troll,1982,JACKS,NA
Total Troll,1982,SOCKEYE,NA
Total Troll,1982,COHO,NA
Total Troll,1982,PINK,NA
Total Troll,1982,CHUM,NA
Total Troll,1982,TOTAL,NA
Hand Troll Total,1982,CHINOOK,NA
Hand Troll Total,1982,JACKS,NA
Hand Troll Total,1982,SOCKEYE,NA
Hand Troll Total,1982,COHO,NA
Hand Troll Total,1982,PINK,NA
Hand Troll Total,1982,CHUM,NA
Hand Troll Total,1982,TOTAL,NA
